Date,Adj Close,Returns,Average Daily Return,,Average Annual Return
02-03-2022,749.109741,,0.000609527,,25%
03-03-2022,736.528931,-1.68%,,,
04-03-2022,713.91333,-3.07%,,,
07-03-2022,666.5354,-6.64%,,,
08-03-2022,669.381104,0.43%,,,
09-03-2022,673.175293,0.57%,,,
10-03-2022,693.893799,3.08%,,,
11-03-2022,689.799988,-0.59%,,,
14-03-2022,708.970825,2.78%,,,
15-03-2022,697.088928,-1.68%,,,
16-03-2022,722.749817,3.68%,,,
17-03-2022,738.126465,2.13%,,,
21-03-2022,724.796753,-1.81%,,,
22-03-2022,730.288391,0.76%,,,
23-03-2022,725.645447,-0.64%,,,
24-03-2022,721.152283,-0.62%,,,
25-03-2022,720.153809,-0.14%,,,
28-03-2022,734.881409,2.05%,,,
29-03-2022,736.67865,0.24%,,,
30-03-2022,749.309448,1.71%,,,
31-03-2022,759.993164,1.43%,,,
01-04-2022,773.372803,1.76%,,,
04-04-2022,782.908264,1.23%,,,
05-04-2022,781.90979,-0.13%,,,
06-04-2022,772.524109,-1.20%,,,
07-04-2022,790.896118,2.38%,,,
08-04-2022,793.691895,0.35%,,,
11-04-2022,784.855286,-1.11%,,,
12-04-2022,797.236511,1.58%,,,
13-04-2022,791.844666,-0.68%,,,
18-04-2022,797.635864,0.73%,,,
19-04-2022,796.587463,-0.13%,,,
20-04-2022,793.492188,-0.39%,,,
21-04-2022,800.58136,0.89%,,,
22-04-2022,779.413574,-2.64%,,,
25-04-2022,779.513489,0.01%,,,
26-04-2022,773.822083,-0.73%,,,
27-04-2022,764.735962,-1.17%,,,
28-04-2022,778.614807,1.81%,,,
29-04-2022,727.492615,-6.57%,,,
02-05-2022,726.244507,-0.17%,,,
04-05-2022,706.125183,-2.77%,,,
05-05-2022,701.282532,-0.69%,,,
06-05-2022,672.376526,-4.12%,,,
09-05-2022,662.691284,-1.44%,,,
10-05-2022,658.747253,-0.60%,,,
11-05-2022,671.328125,1.91%,,,
12-05-2022,648.662659,-3.38%,,,
13-05-2022,634.983459,-2.11%,,,
16-05-2022,637.978882,0.47%,,,
17-05-2022,653.95459,2.50%,,,
18-05-2022,658.447754,0.69%,,,
19-05-2022,649.211792,-1.40%,,,
20-05-2022,672.076965,3.52%,,,
23-05-2022,674.323547,0.33%,,,
24-05-2022,663.04071,-1.67%,,,
25-05-2022,663.989319,0.14%,,,
26-05-2022,682.211548,2.74%,,,
27-05-2022,687.253845,0.74%,,,
30-05-2022,692.595764,0.78%,,,
31-05-2022,684.15863,-1.22%,,,
01-06-2022,685.007263,0.12%,,,
02-06-2022,690.498901,0.80%,,,
03-06-2022,676.270569,-2.06%,,,
06-06-2022,671.178345,-0.75%,,,
07-06-2022,664.837952,-0.94%,,,
08-06-2022,657.598999,-1.09%,,,
09-06-2022,660.294922,0.41%,,,
10-06-2022,659.695862,-0.09%,,,
13-06-2022,647.963684,-1.78%,,,
14-06-2022,649.760925,0.28%,,,
15-06-2022,649.511353,-0.04%,,,
16-06-2022,633.935059,-2.40%,,,
17-06-2022,634.234619,0.05%,,,
20-06-2022,627.345032,-1.09%,,,
21-06-2022,635.532593,1.31%,,,
22-06-2022,625.847351,-1.52%,,,
23-06-2022,628.393433,0.41%,,,
24-06-2022,633.036438,0.74%,,,
27-06-2022,636.131653,0.49%,,,
28-06-2022,641.373718,0.82%,,,
29-06-2022,624.599243,-2.62%,,,
30-06-2022,635.832153,1.80%,,,
01-07-2022,642.971313,1.12%,,,
04-07-2022,653.355469,1.62%,,,
05-07-2022,647.514343,-0.89%,,,
06-07-2022,656.950012,1.46%,,,
07-07-2022,658.150024,0.18%,,,
08-07-2022,669.150024,1.67%,,,
11-07-2022,679.849976,1.60%,,,
12-07-2022,676.200012,-0.54%,,,
13-07-2022,679.900024,0.55%,,,
14-07-2022,668.25,-1.71%,,,
15-07-2022,662.200012,-0.91%,,,
18-07-2022,684.5,3.37%,,,
19-07-2022,700.599976,2.35%,,,
20-07-2022,705.700012,0.73%,,,
21-07-2022,715.549988,1.40%,,,
22-07-2022,730.75,2.12%,,,
25-07-2022,727.349976,-0.47%,,,
26-07-2022,706.450012,-2.87%,,,
27-07-2022,718.950012,1.77%,,,
28-07-2022,725.900024,0.97%,,,
29-07-2022,724.75,-0.16%,,,
01-08-2022,730.799988,0.83%,,,
02-08-2022,730.450012,-0.05%,,,
03-08-2022,730.5,0.01%,,,
04-08-2022,721.599976,-1.22%,,,
05-08-2022,728.5,0.96%,,,
08-08-2022,745.549988,2.34%,,,
10-08-2022,739,-0.88%,,,
11-08-2022,758.849976,2.69%,,,
12-08-2022,760.549988,0.22%,,,
16-08-2022,764.650024,0.54%,,,
17-08-2022,772.099976,0.97%,,,
18-08-2022,765.049988,-0.91%,,,
19-08-2022,757.5,-0.99%,,,
22-08-2022,741.849976,-2.07%,,,
23-08-2022,747.049988,0.70%,,,
24-08-2022,750.150024,0.41%,,,
25-08-2022,743.349976,-0.91%,,,
26-08-2022,744.900024,0.21%,,,
29-08-2022,728.700012,-2.17%,,,
30-08-2022,751.5,3.13%,,,
01-09-2022,744.150024,-0.98%,,,
02-09-2022,750.200012,0.81%,,,
05-09-2022,756.099976,0.79%,,,
06-09-2022,750,-0.81%,,,
07-09-2022,755.400024,0.72%,,,
08-09-2022,779.75,3.22%,,,
09-09-2022,784.849976,0.65%,,,
12-09-2022,801,2.06%,,,
13-09-2022,805.549988,0.57%,,,
14-09-2022,803.049988,-0.31%,,,
15-09-2022,790,-1.63%,,,
16-09-2022,789.299988,-0.09%,,,
19-09-2022,798.099976,1.11%,,,
20-09-2022,812.75,1.84%,,,
21-09-2022,806.549988,-0.76%,,,
22-09-2022,789.200012,-2.15%,,,
23-09-2022,768.599976,-2.61%,,,
26-09-2022,742.599976,-3.38%,,,
27-09-2022,737.5,-0.69%,,,
28-09-2022,716.450012,-2.85%,,,
29-09-2022,719,0.36%,,,
30-09-2022,733.200012,1.97%,,,
03-10-2022,722.75,-1.43%,,,
04-10-2022,742.799988,2.77%,,,
