Date,Axis Bank,Coal India,Dr. Reddy,HDFC Bank,ICICI Bank,Infosys,Nestle India,Reliance,TCS,Wipro
20-04-2022,793.492188,180.058655,4235.746582,1338.734497,751.04303,1554.077881,18107.43164,2710.290039,3444.823486,535.181824
21-04-2022,800.58136,187.112656,4262.285156,1358.554077,757.802429,1584.519409,18095.25391,2773.749023,3514.411377,537.875183
22-04-2022,779.413574,182.81694,4136.448242,1340.019531,743.190186,1551.875488,18080.14453,2750.519043,3498.818604,536.378845
25-04-2022,779.513489,170.42717,4060.186523,1350.052856,747.713013,1528.041138,18067.16992,2686.9104,3436.494385,528.049377
26-04-2022,773.822083,173.095047,4098.760742,1356.280518,749.253723,1547.519775,18306.79492,2767.318359,3434.654541,527.949646
27-04-2022,764.735962,169.568039,4022.301758,1356.77478,732.305481,1519.917114,18115.18555,2770.010254,3449.085205,517.674927
28-04-2022,778.614807,172.055038,4066.796143,1355.588501,742.693115,1549.085938,18318.67383,2811.385742,3471.457764,521.266052
29-04-2022,727.492615,165.362762,4076.464844,1368.686279,738.866089,1534.354736,18221.85156,2781.874512,3435.041504,507.549866
02-05-2022,726.244507,169.703674,4068.522705,1387.56665,736.579834,1508.366943,18331.44922,2772.104004,3430.876953,493.783783
04-05-2022,706.125183,169.432373,3938.739502,1340.414917,719.929749,1503.032349,17980.73438,2685.564453,3370.199219,490.541748
05-05-2022,701.282532,168.075836,3910.572754,1337.400024,724.452576,1551.582031,17499.59961,2632.972656,3402.789795,499.918671
06-05-2022,672.376526,169.4776,3877.867676,1302.456299,714.959534,1510.177612,16894.89648,2612.783447,3324.533936,483.908112
09-05-2022,662.691284,165.543625,3853.351563,1304.68042,706.11261,1537.095337,16406.70313,2510.740967,3336.640381,481.962891
10-05-2022,658.747253,153.786896,3861.441406,1325.636841,707.056946,1520.112793,16422.85742,2467.22168,3330.48999,476.47641
11-05-2022,671.328125,153.606018,3831.893555,1333.099976,709.939697,1494.418579,16414.70703,2441.947998,3304.582275,470.74054
12-05-2022,648.662659,151.073807,3827.897949,1303.050049,691.649414,1476.848755,16124.03613,2392.197754,3301.337646,472.635864
13-05-2022,634.983459,152.56601,3871.603271,1291.349976,673.309448,1472.541992,16305.90234,2419.316162,3307.390869,467.498505
16-05-2022,637.978882,155.279099,3836.185059,1305.099976,678.925781,1457.565918,16122.89258,2419.914307,3270.490234,466.850128
17-05-2022,653.95459,166.900162,3851.575684,1314,705.764709,1486.294434,16226.82422,2521.558105,3342.935791,485.454285
18-05-2022,658.447754,167.80452,3853.351563,1313.900024,703.130493,1477.240234,16246.9043,2530.730713,3340.223633,480.067566
19-05-2022,649.211792,163.870544,3876.683838,1287.050049,686.182251,1396.927856,15999.0293,2472.40625,3159.256104,450.041504
20-05-2022,672.076965,168.16626,4192.041992,1320.949951,705.317383,1424.334961,16762.23828,2616.572266,3189.328857,458.470764
23-05-2022,674.323547,166.674072,4217.544922,1304,706.808472,1437.304321,16893.75586,2599.074707,3217.173584,464.855042
24-05-2022,663.04071,164.910568,4288.725586,1318.949951,703.925781,1410.484619,17085.41406,2607.998047,3184.486084,458.819916
25-05-2022,663.989319,163.41835,4249.60791,1328.800049,709.094727,1380.581421,17181.49219,2604.159668,3088.59082,443.756989
26-05-2022,682.211548,165.724487,4246.352051,1366.699951,724.154358,1393.795532,17548.06055,2579.334473,3146.410645,452.236115
27-05-2022,687.253845,164.458389,4331.54248,1392.050049,735.386963,1430.403564,17536.67969,2567.370361,3179.90332,465.802704
30-05-2022,692.595764,169.296722,4311.61377,1401.550049,744.035095,1494.467651,17602.13867,2656.801025,3291.009521,475.079834
31-05-2022,684.15863,174.451584,4310.972656,1388.949951,748.35907,1487.345459,17586.83008,2624.747559,3280.381592,476.875397
01-06-2022,685.007263,177.300339,4261.002441,1394.849976,748.160339,1462.566284,17139.54297,2625.594971,3271.459717,469.593353
02-06-2022,690.498901,179.244705,4274.962402,1385.099976,745.277588,1491.697876,17290.89258,2716.122559,3337.567627,472.984985
03-06-2022,676.270569,178.159485,4281.721191,1380.300049,739.860107,1505.249756,17069.41016,2771.156738,3354.289307,474.331696
06-06-2022,671.178345,176.215103,4247.930664,1378.449951,742.295532,1513.509521,16896.33984,2759.242676,3345.319092,472.037354
07-06-2022,664.837952,178.656891,4088.303711,1362.599976,730.864136,1490.411865,16647.81836,2764.427002,3278.772705,466.500977
